additionalRequirments,benefits,company,education,experience,jobContext,jobResposiblities,jobType,joblocation,salary,source,title,vacancies,workplace
,,Southeast Bank Capital Services Limited,At least 5 year(s),At least six years in any merchant bank or broker house or relevant field in the capital market.,,,Full-time,Bdjobs.com Online Job Posting.,None,,Branch  in-charge,Not specific,Masters in any discipline|Preference will be given  to business graduates
,,Islami Insurance Bangladesh Limited,At least 15 year(s),"Non-Life insurance background is preferable.|Strong interpersonal skills to deal with management.|Dedicated, and hardworking with team spirit and a person of integrity and professionalism.|Strong leadership skills focusing operation management with excellent multidisciplinary knowledge.|Must have IT knowledge.",,"To lead the overall financial management including: cost management, budgeting and forecasting, capital management, cash flow management, cost and profit analysis, etc. to achieve company's short and long-term financial goals.|Decide on investment strategies by considering cash and liquidity risks.|Ensure cash flow is appropriate for the organization's operations.|Assist management to formulate and administer financial policy to ensure that financial discipline is maintained in the organization effectively and efficiently.|Monitor & direct the implementation of strategic business plans.|Ensure that all financial policies of the organization are in compliance with the Statutory / Regulatory bodies.|Control and evaluate the organization's fundraising plans and capital structure|Monitor all open legal issues involving the company and legal issues affecting the investment.|Prepare reliable current and forecasting reports.|Develop financial and Tax strategies.|Manage team of finance personnel.",Full-time,,As per company policy.,,Chief Financial Officer (CFO),01,Master of Commerce (MCom)|ICAB or ICMAB certification will be added preference.
,,Southeast Bank Capital Services Limited,At least 3 year(s),At least three years in any merchant bank or broker house or  relevant field in the capital market.,,,Full-time,Bdjobs.com Online Job Posting.,None,,Junior Officer/Officer ( Male/Female ),Not specific,Masters in any discipline|Preference will be given  to business graduates
,,RAOWA (Retired Armed Forces Officers Welfare Association),At least 2 year(s),"Age at most 30 years |Minimum 2 years experience in any gym organization.|Excellent knowledge of MS Office, |Excellent presentation skills.|Excellent organizational and communication skills.|Strong time management skills and the ability to multitask|Ability to work under pressure during strategic times of the year|Age limit is maximum 30 years on 30 October, 2021.|Condition may be relaxed in case of highly qualified/experienced candidate.",,To do desk duty.|To welcome members in Gym and Swimming pool.|To give information about Games and Sports department to the members.|To give Gym training.|To ensure health safety of members.|To maintain the income-expenditure register.|To maintain Gym items.|To inform problem to the authority.|Any other responsibility assigned by the authority.,Full-time,Bdjobs.com Online Job Posting.,None,,Trainer (Gym)-Male,01,HSC/Equivalent
,,Kosmetica Bangladesh Limited,Bachelor degree in any discipline,"Age 20 to 35 years |Only females are allowed to apply|You must have  at least 6 months to 1 year Showroom Sales related work experienced/ Online customer care  experience. |Need to have personal computer with internet access. |Accuracy in handling cash and  software. |Positive, Flexible and Team Oriented.|Responsible and Professional.|Good attention to detail and ability to multi-task.|Excellent verbal and written communication skills.|Customer service experience.|Knowledge on basic computing and internet.|Engaging and committed to our mission.|Accuracy in handling cash and credit card transactions.|Experience in cash register operations.|Positive, Flexible and Team Oriented.|Responsible and Professional.|Good attention to detail and ability to multi-task.|Excellent verbal and written communication skills.|Customer service experience.|Telephone answering skills.|Strong references.|Knowledge on basic computing and internet.","Working Hour : 60 hour in a week ( From Home : 25 Hour/Week, In Showroom : 30 Hour/week, Fair/Exhibition : 5 hour)|Job Location : |KOSMETICA, Shop GA-33A, Zone A, Ground Floor Jamuna Future Park|KOSMETICA, Finlay Square ( 2nd Floor), Shop 203 , 2 No. Gate, Nasirabad, CDA Avenue, Chittagong|-Nikunja 2, Khilkhet, Dhaka","Welcomes customers by greeting them; offering them assistance.|Directs customers by escorting them to racks and counters; suggesting items.|Advises customers by providing information on products.|Helps customer make selections by building customer confidence; offering suggestions and opinions.|Recognizing and reporting conflicts of interest|The responsibility to protect organizational assets and opportunities|Maintaining confidentiality and corporate identity Protecting privacy, information, and data.|Being well-dressed and adhering to the company's dress code, hair style, makeup and ornamentation. |Being pleasant and polite, and take on difficult tasks with a cheerful attitude.| Keeping an eye on Facebook page / group on regular basis and improve thyself.|Distinguishing, with a degree of accuracy, differences or similarities of different ingredient.|Advises customers by providing information on products.|Helps customer make selections by building customer confidence; offering suggestions and opinions.|Recognizing and reporting conflicts of interest|Maintaining confidentiality and corporate identity Protecting privacy, information, and data.|Being pleasant and polite, and take on difficult tasks with a cheerful attitude.|Keeping an eye on Facebook page / group on regular basis and improve thyself.|Distinguishing, with a degree of accuracy, differences or similarities of different ingredient.",Full-time,,"Tour allowance, Over time allowance",,Customer Service Executive - Showroom+Online  (Female),5,Work at office
,,Merlin Global Study & Immigration,"Age 25 to 35 years |Both males and females are allowed to apply|Skills Required: Education Counseling, Student Visa Processing, study abroad, Visa Processing.|The applicants should have experience in the following area(s): Education Counseling, International Students Consultancy, Student counseling for Australian education, Student Visa Processing, UK & Canada Education Consultancy, UK & Canada Visa Processing, USA, Visa Consultancy|The applicants should have experience in the following business area(s): Consulting Firms, Immigration & Education Consultancy Service, Immigration/ Visa Processing|freshers are also encouraged to apply.",,"Job Timing: 6 days a week.|Office Location: Orchid Plaza (5th Floor), H2, R28, Mirpur Road, Dhanmondi, Dhaka-1209, Bangladesh.","To process student visa applications in Canada, UK, USA & Europe;|To develop a client database of international students, facilitating their enrollment and admission to educational institutions in Canada, UK, USA & Europe;|Creating a solid relationship with a range of education partners;|Providing education counseling for students to ensure the most appropriate course selection;|Facilitating the enrollment and admission process for international students and ongoing support;|Processing student visa applications based on entry requirements and admissions procedures;|Case and file management in accordance with agency procedure;|Developing and building strong client relationships with a network of education providers to secure ongoing agreements;|Generating ideas for marketing activities, events, and advertising campaigns.|Ability to meet deadlines and team targets.",Full-time,Bdjobs.com Online Job Posting.,None,,Manager/Senior Counselor,Not specific,Bachelor degree in any discipline|Applicants from the same industry background will get preference.
,,A Reputed Knit Composite Garments,At least 2 year(s),"Only males are allowed to apply|Should have related experience in factory HR,Admin & Compliance arena|Should be dynamic, sincere, hardworking and result oriented|Should have effective communication skills|Should be proficient on computer applications",,"The selected candidate will be responsible for looking after day to day operational HR , Admin & Compliance related issues of the Knit Composite Garments Factory under the guidance of senior officials of the department.|Candidates having minimum 2 years related experience in reputed garments factories are only encouraged to apply.",Full-time,,None,,Officer/ Sr. Officer (HR & Compliance),3,Masters in any discipline from a reputed University. Candidates having BBA/ MBA in HRM will get preference
,,Asia Pacific General Insurance Co. Ltd.,"Age at most 45 years |Both males and females are allowed to apply|Must have knowledge in Non-Life Insurance Accounts and Financial statements. |Dynamic, hardworking & self-motivated with sound physical and mental health. |Should have excellent communication and presentation skills both in English and Bengali.|Must have at least five (05) years of experience of serving as a Company Secretary in any reputed Non-life Insurance company.",,"Must be well conversant with Company's Act, Insurance Act, BSEC Act & rules, RJSC, DSE, CSE, CDBL rules, IDRA Circular and Rules & Regulation |Drafting of Notice, Agenda, Notes, Minutes of EGM, AGM, Board and all Committee Meetings of the Company and ensure implementation the decisions thereof. |Preparation and filling of documents and returns in compliance of regulatory requirements. |Review of Quarterly / Annual financial statement and prepare Annual Report of the Company |Supervision and resolve all the issues relating to HR & Admin related issues and Policies with top Management and ensure proper implementation thereof. |Ensure proper disciplinary action as per Company service rules, establish and maintain a working environment conductive to Positive, Morale, Individual Style, Quality, Creativity and Teamwork. |To develop, upgrade and implementation of Admin & HR policies according to Labor Law and standard practice for establishing smooth operation of the Company. |Perform other duties related to Board affairs and Administration matter as and when required",,None,,None,,Company Secretary,01,"At least 10 year(s)|The applicants should have experience in the following area(s):|Administration, Share Department/ Company Secretariat|The applicants should have experience in the following business area(s):|Insurance"
,,HA-MEEM GROUP,Only males are allowed to apply,,"Responsible for process development and method development for all areas of production, including: Sample production stage, Pilot production stage, Bulk production stage.|Work with appropriate teams to ensure technical support throughout the production cycle including but not limited to: Fabric blanket and R&D, Initial wash stage - Use of appropriate washing methods and chemicals to ensure desired wash shade/effect, Provide all internal shade/shrinkage approvals, Monitor and control all lab test parameters such as color fastness to light, pilling, etc, Matching of all printed patterns such as checked patterns during cutting, sewing and finishing.|Ensure best production practices for all stages of production (sampling and bulk)|Understand and educate all teams on fabric nature/type and the effect of textile auxiliary chemicals and dyes on the fabric|Provide support for any and all technical areas for all stages of production including but not limited to: Critical fabric handling during sewing/finishing, Critical accessories handling during sewing/finishing, Critical thread handling/Use of appropriate threads for stitching,	Ensure appropriate threads for the appropriate needle types, Adjusting stitching tension of machines to prevent puckering and other technical issues, Ensure proper sewing allowance to prevent wash damage, Managing shrinkage related technical issues, Attachment of individual parts, Ensure use of appropriate machines and mechanical devices to simplify production processes.|In-charge of all size-set sample lines in CCL - including timely production output, and proper quality control, and proper administration of all sample lines.|Attend all pre-production meetings, especially related to size set and pilot run samples|Work closely with all unit ED/GM for appropriation of sample operators for line balancing and repair work if and when required.|Follow up actively with all ED/GM on size set sample/pilot sample status.",,None,,None,,"Manager, Technical",Not specific,"At least 15 year(s)|The applicants should have experience in the following area(s):|2 to 3 years experience in Factory, 2 to 3 years experience in same position.|The applicants should have experience in the following business area(s):|Garments"
,,Ananta Huaxiang Ltd.,"Age 22 to 32 years |Only males are allowed to apply|Computer Literacy : Sound knowledge in MS Word, MS Excel, E-Mail & Internet Browsing (Must Require)",,"Preparing Customs Invoice, Packing List, EXP, EP according to shipment schedule of various buyers within deadline.|Placing booking in proper time in buyer nominated Forwarder's Portal & templates preparing for manual bookings.|Prepare subsidiary papers like GSP, CO, APTA, SAFTA etc |Any other task as assigned by the Management.",,None,,None,,Management Trainee (Commercial),01,"Master of Business Administration (MBA), Bachelor of Business Administration (BBA)"
,,A Reputed Spinning Mill,At least 2 year(s),"Only males are allowed to apply|Should have related experience in factory HR ,Admin & Compliance arena.|Should be dynamic, sincere, hardworking and result oriented|Should have effective communication skills|Should have excellent computer skills specially in MS Word & MS Excel.|Should have good typing skills both in Bangla & English.",,The selected candidate will be responsible for looking after day to day operational HR &  Admin related issues of Spinning Factory under the guidance of senior officials of the department.|Candidates having minimum 2  years related experience in reputed garments factories/ spinning Mills are only encouraged to apply.,Full-time,,None,,Officer/ Sr. Officer (HR  & Admin),04,Masters in any discipline from a reputed University. Candidates having BBA/ MBA in HRM will get preference
,,A Leading Garments Manufacturer in Bangladesh,"Should have minimum 8 years experience in Sweater Merchandising in a reputed sweater industries.|The applicant will be stationed at corporate office but move frequently factories.|Proficiency in Microsoft Office applications, mail communication, uses of internet is a must.|Able to work under pressure.|Communication skills both in oral and written in English.",,"To handle independently 2 accounts with 1 merchant support.|To be responsible for monitoring and sourcing complete sample, lab dips, accessories, trims from home & abroad and communicate with various suppliers to get the current price/ strike off / Hand loom|Strong & Adequate working knowledge of sourcing, Market Survey, Negotiation Skill|Good knowledge in price quotation and product development.|To prepare purchase orders, internal order & costing sheets|Sound knowledge on production (patter, consumption and wash etc.)|Candidate has to coordinate with marketing, design, supply chain, production & store department of the company very professionally|To mediate production and quality department and work closely with QA to ensure best final product & take care of all aspects of quality from initial to final stage of the production|Co-ordinates with production team in order to deliver on time shipment and ensure merchandisers are updating order status to buyer|Try to give maximum lead time to production & thinking for maximum profit from all merchandise|Having excellent product knowledge with capacity of handling very demanding and globally renowned customers|Candidate must be expert in sourcing new buyers, collecting orders, shipment follow-up and communication with buyers|Ability to work as a team Leader|The incumbent should be dynamic, well organized, self-driven with amicable personality|Any others job assigned by management",,None,,None,,Senior Merchandiser (Sweater),Not specific,8 to 10 year(s)
,,HA-MEEM GROUP,Only males are allowed to apply,,"	Fire risk assessment and take necessary action to remove it.|	Make factory compliant regarding fire issue.|	Make factory ready to face audit (Alliance, Accord etc).|	Update of as built Drawing (CFDS & FPS).|	Making of Testing & Commission Report as per buyer requirement.|	Supervise installation, testing and commissioning work of CFDS.|	Update Daily, Weekly & Monthly basis checklist of fire Detection System.|	Supervise installation, testing and commissioning work of FPS. |	Update Daily, Weekly & Monthly basis checklist of fire Protection System.|	Daily CFDS & FPS System maintenance work.|	Supervise fire rated door installation work.|	Update fire rated doors maintenance Check list.|	Update hot work Policy Maintain.|	Update Emergency Light, Exit Sign maintenance check list.|	Lead a team of technical persons.|	Work distribution and follow up of work.|	Make necessary CAP of factory.|	Attend meeting with Alliance, Accord, consultant, Vendors etc.|	Make requisition and estimate of work.|	Bill receives from the vendors/contractors and after evaluation send it to head office.|	Do additional work that is given by seniors.",,None,,None,,"Manager, Fire and Safety",Not specific,At least 10 year(s)
,,A Reputed Knit Composite Garments,At least 2 year(s),"Only females are allowed to apply|Candidates residing in the Gazipur area are preferable|Must be sincere, self-motivated, proactive and able to work in a team environment.|Knowledge on buyers Code of Conduct.|Knowledge on Bangladesh Labor Law-2006 and labor Rules 2015 |Should have Computer knowledge especially in MS Office.",,"The selected candidates will be responsible to perform employee welfare related jobs of the factory under the guidance of Senior Officials of HR & Compliance department.|Major jobs of the position includes:|Maintain effective communication & liaison between workers and management.|Counsel the workers on general issues like, company rules, regulations, policies, procedures and discipline.|Counsel the absentee workers in view to reduce absenteeism & turnover.|Aware the workers on safety, health & hygiene issues.|Maintain welfare related all kind of record keeping registers.|Listen/collect grievances of the workers and initiate to solve those with utmost priority.|Facilitate the awareness program on rules and regulation, compliance issues, health, safety and first aid etc.|Ensure hygienic and healthy atmosphere in the workplace.|Ensure all welfare activities are driven according to Bangladesh labor law , labor rules and Company's HR policy and procedures.|Other tasks as assigned by the Management.",Full-time,,None,,Welfare Officer,03,Bachelor/ Masters in any discipline from a reputed institute/university.
,,Fancy Beauty Concept,At least 2 year(s),"2 to 10-year(s) working experience. |FANCY Beauty Artist Required Qualifications:|While certification in make-up/hair dressing artistry and/or previous retail make up/hair dressing experience is desirable, we also welcome applicants with amateur level experience|All applicants must be able to demonstrate the ability to provide inspirational, authentic and personalized customer service|Ability to work days, nights, weekends, and special events in a fast-paced work environment|High School Diploma or equivalent|To better assess your passion for makeup and hair and your level of makeup application, all applicants must provide photos to showcase their work.|A live makeup and hair color/hair dressing application demonstration is required for final candidates.",,"**Training Part Includes:|Provide timely, welcoming, personal, professional, and consistent service to all customers at all times.|Assist customers with product/services selection and information|Demonstrate effective communication skills, the well-executed, and expedient application of makeup to achieve the look the customer desire|Meet your individual responsibility for your appropriate contribution to the team's goals in term of service, sales, and company objectives|Actively participate in Fancy beauty institute training program|All training sessions and partnered store mandatory training sessions|Actively participate in cleaning display units, tools, and testers throughout the day|Maintain proper placement and condition of merchandise on counter, in stock room, and maintained areas.|Adhere to proper security procedures regarding handling of cash and assets|Assist with stocking of all counter supplies and inventory on a daily basis|Assist in merchandising and re-stocking all products on the floor in showcases and cabinets every morning and as needed throughout the day|Must follow all the policies regarding customer service expectations, dress code, and professional standards|Inspiring customers to express their individual beauty by providing them with a complete shopping experience, including enthusiastic, helpful assistance and product knowledge.|Must know shampooing, cutting, styling, and coloring hair, as well as massaging and treating scalps.|Applying makeup, performing facials, and recommending skincare therapies.|Performing manicures and pedicures, nail art, and color recommendations.|Performing permanent and temporary hair removals treatments, such as electrolysis, laser hair removal, and waxing.|Suggesting guidelines on personal skincare regimes.|Cross-selling beauty therapies and products.|Making appointments and documenting treatments.|Keeping your work station and tools clean and sterile.",Full-time,,None,,"Beauty Expert, (Beauty Program & Product Sales and Service Consultant)",1,HSC/BA.
"Age 25 to 35 years |HR policies development and implementation|Core HR knowledge and operations |Must be familiar with Bangladesh labor law, labor rules and factory rules|Pleasant personality with positive attitude|Ability to work under pressure|Positive work ethics and result oriented for assigned responsibilities|Highly computer literate and various HR software (ERP) |Excellent communication & presentation skill.|Should have sound language proficiency in Bangla and English|",As per company policy,Fakir Eco-Knitwears Ltd.,Bachelor/Masters in Human Resource Management,2 to 3 year(s)|The applicants should have experience in the following area(s):|Human Resource Management,,"Ensure that references/ background of selected candidates are checked and educational certificates are verified.|Prepare monthly salary for workers/assigned department and monthly salary sheet|Assist new worker/officer/staff to prepare their mobile account/bank account |Continuous counseling to make the worker fully motivated towards their responsibilities and loyalty to the company.|On time input workers and all staff monthly wages details accurately for salary |Regular monitoring attendance, absenteeism, leaves etc. |Frequently visit in production floor and liaison with floor representative to perform the job accurately. |Preparing daily attendance correction and HR activity report regularly and on time.|Handle disciplinary procedures & grievance issues (as per labor Law) etc.|Ensure Employee performance appraisal.|Ensure personal file update of exit employees.|Ensure lefty employees letter issue.|Prepared and update employee job description.|Monthly lefty worker list & letter issue|Keep all employees personal file up to date|Provide ID card, appointment letter to workers in a timely manner.|Prepare final settlement bill for lefty employees|All Register Follow-up (Attendance, Overtime, Leave, Allowance, Verbal Complain, Letter Issue, Etc.)|Provide counseling on policies & procedures |To perform any other job as assigned by the management.",Full-time,Narayanganj,None,Bdjobs.com Online Job Posting.,"HR Officer, (Department-HRD)",Not specific,Work at office
"5 years of experience in the related testing field. |Training on ISO 17025/ISO 17020/ISO 9001 will be preferred.|Fluent in English, Good writing skills.|Presentation skill and analysis skills",,Intertek Bangladesh,"M.Sc or B.Sc in Footwear Engineering, Leather Engineering, Leather Product Engineering, or Textile Engineering/Chemistry/Physics.",2 to 6 year(s),,"Conducting all allotted tests as per the procedure and/or SOP given in the worksheet or as instructed by the Group Leader or above.|Responsible for sample breakdown, extraction, preparation & instrumentation.|Performing Testing and verifying the accuracy of test results|To maintain TAT as per company expectation.|Maintain all QC parameters as per SOP/Guideline |The overall functioning of laboratories operation in respect of technical aspects.|Organizing and monitoring training, quality checking, and proficiency testing. |Arranging & establishing any new method and validation whenever it is necessary and under our scope. |Answering any queries from customers, which related with in respect of technical.|Any new buyers developed in respect of technical issues and share the knowledge with other colleagues.|Monitoring the performance of the laboratory staff with respect to quality and/or integrity.|Follow-up correlation exercise as well as maintained the target time with all technical aspects.|Audit & correlation feedback as & when required.|Receiving complaints identifying cause analysis & taking corrective action.|Ensuring that the required environmental conditions are maintained.|Ensuring good housekeeping|Assisting Manager as and when required.|Proper planning on the best utilization of manpower  and equipment with effective control of staffs' leave office on time",Full-time,Dhaka,None,,"Assistant Supervisor/ Lab Officer - Footwear, Carton & Ceramic Lab, Dhaka",3,Work at office
,,"al-muslim group, Dhaka",3 to 4 year(s)|The applicants should have experience in the following area(s):|Garments Industry,"Age 25 to 30 years |Both males and females are allowed to apply|Should have Sound knowledge about H&M|Dynamic, motivated, energetic, pro-active|Leadership Quality with positive attitude & having ability to motivate employees.|Honesty, sincerity and Integrity.|At least 3 year in the same position|The Candidate should have working experience with H&M|Job Location : Vulta,Rupgonj, Narayangonj.","Arrange pre-production meeting.|Initial inspection style, PO & color wise.|Daily inline inspection in sewing and finishing style, PO & color wise.|Pre-final inspection before final inspection.|Communicate with H&M QC, merchandiser, and technician team.|Follow up H&M requirements in every aspect like fabric, store, cutting, sewing and finishing|Follow up shipment plan as per TOD wise|Maintain all H&M QC's document like as initial, inline and final inspection and after that sending report PO wise to H&M office|Daily update data and tools after every inspection|Co-ordinate with factory merchandiser, production and quality team|Need good idea about DCL (defect criteria level)i.e. major, minor and critical defect|Ensure all the rules and regulations of the company ,compliance and buyer and also maintain proper work environment of the factory|Bound to maintain the command provided by the higher authority",,None,,"Mobile bill, Insurance",,NQC,02,Graduate in any Discipline (Educational requirements may be considered for highly experienced person.)|Skills Required: Should be HM approved certified.
"Age 28 to 32 years |At least 1-2 years Experience as Asst. Manager/ Manager.|Good Commend in English both Written & Spoken.|Must have better knowledge in PMTS, Auto CAD, Microsoft Excel & Power point.","Mobile bill, Insurance|Salary Review: Yearly|Festival Bonus: 2",Noman Group,Bachelor of Science (BSc) in IPE|Public University Student will get preference.,4 to 5 year(s),,"Need to work closely with buyer regards Lean activities.|Conduct & Follow-up Lean Project for increasing efficiency & Cost Optimization.|Finalized SMV & Operation bulletin of every styles ( All Buyer).|Design facility Layout by maintaining compliance requirement for reducing loss time & increasing product flow.|Follow up Operator recruitment, Skill matrix update & Operator skill development.|Conduct skill development training for supervisors & mid level management on Basic IE tools and technique and evaluate the training success.|Follow up  Man machine Ratio, Cost per minute & Optimization of Waste.|Identify scopes to improve working method through innovation and technology implementation.|Follow up all daily activities of respective unit IE team members.|Follow up operation standardization for improving productivity and prepare SOP.|Prepare Monthly KPI & Cost recovery reports",Full-time,Gazipur (Tongi),None,Bdjobs.com Online Job Posting.,Asst. Manager/ Manager - Lean & IE (Zaber & Zubair Fabrics Limited - Home Textile),1,Work at office
,,DEKKO ISHO Group,"Age 25 to 30 years |Independent, proactive and long term planner|Candidates must have IE and Supply chain experience|Good negotiation skill to represent the plan to production management|Excellent communication both written & speaking in English|Familiar with Microsoft excel and Power point",,"Must have FR (Fast React) knowledge  |Maintain proper communication with central production planning|Follow up shipment wise operation progress such as fabric, print, cutting, input, output|Must have Supply chain follow up knowledge|Able to prepare Shipment schedule |Have knowledge to prepare finishing plan",,None,,None,,Sr. Executive - Production Planning & Coordination,Not specific,3 to 4 year(s)|The applicants should have experience in the following area(s):|Production planning|The applicants should have experience in the following business area(s):|Garments
,,HA-MEEM GROUP,Only males are allowed to apply,,"Manage and direct activities congenial to productivity ensuring optimum utilization of man, machine & material to yield higher productivity.|Analyze, control and reduce cost and wastage in an effective and efficient manner.|Establish and maintain operational guidelines, procedures and practices.|Monitor operational performance and improve existing performance through process and technology improvement.|Ensure product design and development and related R&D activities as per the customer requirements.|Manage work in progress costing and quality.|Lead safety, quality and compliance activities to ensure zero NC.|Report production related information in prescribed format in a given period.|Establish and implement departmental policies, goals, objectives, and procedures, conferring with the Company policies, and determine staffing needs.|Coordinate with other department heads as required.|Any other task assigned by Management",,None,,None,,"General Manager, Production",Not specific,At least 15 year(s)|The applicants should have experience in the following area(s):|Garments (woven)|The applicants should have experience in the following business area(s):|Garments
As per company Policy.,,A Reputed 100% Export oriented Garments Manufacturing Company,,,"To Prepare Smart Knitting-Production plan with manpower, machine and material and giving instruction to the supervisors accordingly. |To manage technical and proper production line of circular Knit.|To follow production plan and achieve set production targets by analyzing capacity, performance, identifying bottlenecks and quick balancing lines as and when required.|To lead and manage the bulk production & sample. |To show creativity in sample development and new concept or fabric. |To ensure timely grey fabric inhouse.|To monitor and improve worker performance.|Provide technical support when required.|To liaison with merchandising & planning department as required. |Introduce and implement Modern Production Technics. |Report to management as and when required.|To analyze quality data and discussion with other team members. |To perform other production related duties and responsibilities.",,None,Bdjobs.com Online Job Posting.,None,,AGM (Knitting),Not specific,"Age 35 to 45 years |Only males are allowed to apply|Must have experience in dia change when need to utilize maximum machines. |Have working experience in a reputed factory with handle major buyers like Pepco, DMR, GG, M&S, H & M, UTG etc.|Able to work under pressure and must proactive."
,,TeamAlx,"2 to 3 year(s)|The applicants should have experience in the following business area(s):|Buying House, Garments, Textile","Age 25 to 27 years |Only males are allowed to apply|Strong communication skill in English both oral and written|Good computer knowledge is must require.|Only males are allowed to apply|Good leadership/Commanding ability to lead & motivation.|Able to work under pressure and complete the task within a preset time-fame.|Good in planning and analytical skills.|Good inter-personal & communication skills.|Good team player, well- organized, initiative and detail-oriented.|Coordination:|Help the QA/QC team and factory to communicate regarding product technical or quality issue.|Strong negotiation skills|Product Knowledge|Problem Solving|Documentation Skills|Analyzing Information|Multi-tasking",,"Develop the quality standard, rules and regulations for achieving the quality of the garments.|Full responsibility for quality function within the location through the entire manufacturing process including incoming, in process, finished goods inspection and testing.|Validates quality processes by establishing.|Product specifications and quality attributes.|Determining operational and performance qualification.|Writing and updating quality assurance procedures.|Maintains and improves product quality by completing product, company, system, compliance, and surveillance audits.|Investigating customer complaints.|Conducts floor audits and manage first article and first piece inspection and report.|Any other assignment given by the top management",Full-time,,As per company policy,,Supervisor - QC Department,1,Bachelor of Science (BSc) in Textile Engineering
,,Star Non-Woven Fabrics & Bags Limited,"Age at least 25 years |Only males are allowed to apply|Skills Required: Ability to lead and manage team, Computer literacy, Fabrics manufacturing, Good Communication skill|The applicants should have experience in the following area(s):Apparel, Textile|Minimum 3 years working experience as same position of a large Garments Factory.|Sound knowledge on overall knit operation.|The incumbent should be dynamic and have ability to accept the challenge|Passionate and must have positive attitude.|Be a good team leader|Must have capable to handle team effectively and efficiently.",,"To check and supervise the daily receiving, issuing activities as per standard|To monitor day-to-day stores function as per the SOP (Standard Operating Procedure)|Ensure proper maintain and operation of the store like safe receipt, storage, retrieval and timely dispatch|Ensure proper store compliance regarding fabric in bound & out bound warehouse management|Preparing TNA after receiving fabrics|Ensure quality of received fabric|Checking & supervising the daily fabrics receiving & issuing to the batch and maintaining the report to the concern department heads.|Make sure inventory control. ensure minimum stock level.|Monitor and maintain all required records, register, ledger & MIS reports of the store as well as inventory bin cards.|To check and supervise the daily receiving, issuing reports and all other documents related with materials movement of the store.|Preparing the monthly stock report and send it to the concern department|To monitor delivery challan and gate pass.|Follow-up with the suppliers for day-to-day requirement, fixing the timing for issue and receiving the fabric, Receiving Indents.|Any other responsibility assigned by the management.",,None,,None,,"Shift In-Charge, Factory",4,At least 3 year(s)
As per company Policy.,,A Reputed 100% Export oriented Garments Manufacturing Company,,,"Will have to work in shift as per schedule. |To make recipe |Supervise & monitor the jobs of Dyeing Operators and ensuring shift-wise production target |Follow up order wise fabric production as per shipment schedule. |Have to work very closely with the Helpers, Operators and concerned personnel. |Responsible for shade matching and quality production of dyeing-finishing |Dyeing T&A Report make.",,None,Bdjobs.com Online Job Posting.,None,,Officer (Dyeing - finishing),Not specific,"Age 35 to 45 years |Only males are allowed to apply|Must have experience in dia change when need to utilize maximum machines. |Have working experience in a reputed factory with handle major buyers like Pepco, DMR, GG, M&S, H & M, UTG etc.|Able to work under pressure and must proactive."
As per company Policy.,,A Reputed 100% Export oriented Garments Manufacturing Company,,,"To be Responsible for dyeing finishing target production. |To advise appropriate 'recipe' for dyeing both natural and synthetic textiles. |To recommend any special finishes or treatments to be applied after and or during the dying process to meet buyers' requirements.|To reduce wastage(time/man/machine) and to make smart use of man, machine and material to get best output.|To Ensure maintain properly floor administration|Plan, coordinate, organize and control the total production process. |Identify cost reduction opportunities in the production through process, dyes-chemical selection & combination|Lead dyeing-finishing production unit to  zero Non Conformity (NC). |To Control nonconforming products at intermediate and final stage in Dyeing department.|To become aware of Inspection test status, taking corrective and preventive action. |To improve Dyeing process & highest level RFT. |To coordinate with buyer & take all kinds of approval. |To maintain quality as per buyer requirement.",,None,Bdjobs.com Online Job Posting.,None,,AGM (Dyeing - Finishing),Not specific,"Age 35 to 45 years |Only males are allowed to apply|Must have experience in dia change when need to utilize maximum machines. |Have working experience in a reputed factory with handle major buyers like Pepco, DMR, GG, M&S, H & M, UTG etc.|Able to work under pressure and must proactive."
,,M & J Group,Bachelor's Degree (Preferably from a Business background).|Freshers with good academic background,"Good communication skills;|Self-motivated, organized, disciplined;|Keen sense of punctuality, ethical and professional responsibility",,Be responsible for purchasing goods of the assigned category at a competitive price after verifying the local sources/ market;|Be responsible to ensure timely delivery of the goods to the factory and follow-up with the store of all units for timely receiving; |Receive invoices from suppliers and get approval from the Management after proper checking and entry into the system;|Provide necessary invoices to accounts department along with delivery approved requisition and other relevant documents for payments;|Any other task assigned by the supervisor.,Full-time,,As per company policy,,Junior Executive_ Group Procurement_ Corporate Office,1,Work at office
